,NumOfProducts,HasCrCard,IsActiveMember,Gender,CustomerId,Surname,CreditScore,Age,Tenure,Balance,EstimatedSalary
3482,2,1,1,Male,15677377,Lawrence,543,37,3,0.0,78915.68
795,2,0,0,Male,15686870,Ball,761,36,8,108239.11,99444.02
1575,2,1,0,Male,15636756,Marino,545,23,2,0.0,189613.12
6176,2,1,1,Female,15604146,Kaodilinakachukwu,608,38,8,103653.51,137079.86
6266,1,1,0,Female,15590097,Ch'eng,537,33,7,136082.0,62746.54
2458,2,1,1,Male,15813303,Rearick,513,88,10,0.0,52952.24
3312,1,1,0,Female,15605684,Phelan,664,31,7,104158.84,134169.85
1253,2,1,0,Female,15699523,Chu,499,55,4,126817.65,123269.71
6834,2,1,1,Male,15625035,Mills,703,50,8,160139.59,79314.1
8794,1,1,1,Female,15578671,Webb,706,29,1,209490.21,133267.69
3837,2,1,0,Female,15662533,Porter,598,23,6,0.0,153229.19
4398,1,1,0,Female,15707007,Onio,743,39,8,0.0,94263.44
3595,1,1,1,Female,15654156,Marcelo,722,32,5,106807.64,76998.69
6621,2,1,0,Male,15710365,Thomson,646,50,0,104129.24,181794.86
8382,2,1,1,Male,15612594,Ifeanacho,599,25,3,0.0,120790.02
2124,4,0,0,Male,15603851,Galkin,704,32,7,127785.17,184464.7
3238,1,1,0,Male,15588080,Giles,675,54,6,0.0,110273.84
5403,1,1,1,Male,15733169,Craig,590,22,7,125265.61,161253.08
5998,2,1,0,Male,15644212,Han,644,28,0,0.0,119419.37
5938,1,0,1,Male,15679668,Yao,850,38,7,115378.94,162087.82
2045,2,0,0,Female,15655238,Dellucci,668,31,9,0.0,41291.73
1578,1,0,0,Male,15585047,Onyemere,715,28,7,160376.61,196853.11
14,2,1,1,Female,15600882,Scott,635,35,7,0.0,65951.65
2673,1,1,0,Male,15574910,Ferguson,601,50,2,115625.07,185855.21
7016,1,1,1,Male,15790254,Wood,741,50,1,78737.61,13018.96
8720,2,0,0,Female,15645059,Crace,711,28,8,0.0,105159.89
8849,2,1,0,Female,15721433,Hixson,664,38,4,74306.19,154395.56
4812,1,1,0,Male,15601172,Nelson,672,31,6,91125.75,177295.92
1084,2,1,0,Male,15591257,Ejimofor,796,24,8,0.0,61349.37
4983,1,1,0,Male,15723721,Tinline,543,30,4,140916.81,157711.18
7155,3,1,1,Male,15609070,Findlay,515,45,7,120961.5,39288.11
2884,2,0,1,Female,15776047,Nicholls,620,29,3,0.0,153392.28
333,1,1,0,Female,15728669,Knowles,584,30,8,112013.81,177772.03
7204,1,0,0,Male,15585192,Cremonesi,686,39,10,136258.06,89199.51
4367,1,0,1,Male,15675854,Douglas,573,50,0,159304.07,155915.24
3079,2,0,0,Female,15774727,Monaldo,757,34,1,129398.01,44965.44
7203,2,0,0,Male,15657778,Jefferson,657,33,1,84309.57,103914.4
9909,1,1,1,Male,15773338,Endrizzi,739,58,2,101579.28,72168.53
8864,2,1,0,Female,15599124,Miller,832,29,5,0.0,178779.52
263,1,0,1,Female,15673693,Reppert,682,26,0,110654.02,111879.21
4337,2,1,0,Male,15642160,Milanesi,850,38,5,0.0,16491.64
8895,1,1,0,Female,15658972,Foster,699,40,8,122038.34,102085.35
8447,1,1,1,Female,15792627,Reid,765,33,5,84557.82,69039.43
5903,1,1,1,Female,15677317,Ankudinova,570,29,4,153040.03,131363.57
1498,2,0,1,Female,15677049,O'Brien,595,25,7,106570.34,177025.79
4190,1,1,1,Female,15659568,Atkinson,850,31,3,121237.65,31022.56
7485,2,1,0,Male,15744423,Cocci,561,32,5,0.0,84871.99
9643,2,1,1,Female,15709354,Tudawali,521,41,2,0.0,113089.43
8310,1,1,0,Male,15752809,De Mestre,702,43,6,116121.67,61602.42
7590,3,1,1,Female,15568819,Chiganu,619,42,8,132796.04,191821.35
500,2,1,1,Male,15727688,Chizuoke,555,32,4,0.0,54405.79
9155,2,1,0,Female,15680666,Berry,579,39,2,151963.26,158948.63
9414,1,1,0,Female,15632280,Toth,544,53,9,0.0,125692.07
3095,1,1,0,Male,15680243,Brown,792,19,7,143390.51,33282.84
4631,1,1,0,Female,15706116,McKay,659,30,8,154159.51,40441.1
367,2,1,1,Female,15594720,Scott,460,35,8,102742.91,189339.6
4058,1,1,0,Male,15771966,Akobundu,557,39,8,146200.01,177944.64
8174,1,1,1,Male,15623525,Copeland,564,31,0,125175.58,72757.33
4630,2,1,1,Male,15684958,Amadi,489,38,2,126444.08,82662.73
6070,2,0,1,Male,15678173,Collee,629,35,4,174588.8,158420.14
2664,2,1,1,Male,15769582,Kang,586,29,3,0.0,142238.54
1026,2,0,0,Male,15767864,Fulton,628,33,6,0.0,184230.23
5908,1,1,0,Female,15641934,Manna,749,46,9,66582.81,78753.12
5050,1,1,1,Male,15663294,Kao,703,32,1,125685.79,56246.72
6328,1,0,0,Female,15629545,Buckley,790,41,7,109508.68,86776.38
9733,2,1,1,Male,15789413,Fitzgerald,733,64,3,0.0,75272.63
1691,1,1,1,Male,15772933,Mai,591,31,8,0.0,141677.33
673,2,1,1,Female,15745621,Wertheim,640,32,6,118879.35,19131.71
5572,1,1,1,Male,15613140,Mellor,565,34,6,0.0,63173.64
5766,1,1,1,Male,15740846,Wei,556,40,5,125909.85,95124.4
5156,1,0,1,Male,15675256,Ts'ui,555,33,5,127343.4,121789.3
733,2,1,0,Male,15744607,Martin,738,43,9,121152.05,64166.7
3526,2,1,0,Female,15795129,Gallo,799,30,9,0.0,136827.96
568,2,1,1,Male,15795564,Moretti,737,31,5,121192.22,74890.58
9187,1,1,1,Male,15628863,Calabresi,601,38,4,60013.81,38020.05
2922,1,0,0,Male,15705113,P'an,685,34,6,83264.28,9663.28
7911,2,1,1,Male,15809906,Mitchell,558,26,1,148853.29,24411.02
1558,2,0,1,Female,15618018,Dickson,571,35,1,104783.81,178512.52
101,2,0,0,Female,15743192,Hung,623,44,6,0.0,167162.43
3007,1,0,1,Male,15697997,Jamieson,602,33,5,164704.38,180716.1
7201,1,1,1,Female,15664615,Nnachetam,689,30,5,136650.89,41865.72
303,2,1,1,Female,15624188,Chiu,712,33,6,0.0,190686.16
76,2,1,1,Male,15614049,Hu,664,55,8,0.0,139161.64
6754,1,0,1,Female,15688085,Warner,627,28,3,157597.61,34097.22
8629,2,1,0,Male,15577598,Chiang,651,23,4,115636.05,70400.86
1208,1,1,1,Female,15616451,Genovese,697,47,6,128252.66,168053.4
7742,1,1,1,Male,15571940,Afamefula,579,22,3,118680.57,49829.8
8214,2,1,0,Female,15788920,Ch'ang,836,32,4,109196.67,55218.02
8944,2,1,1,Male,15752312,Howells,551,49,1,150777.72,135757.27
8413,2,0,0,Male,15597309,Howell,749,36,7,0.0,80134.65
1775,1,0,0,Female,15725664,Wallace,549,38,8,107283.4,157442.75
3473,1,0,1,Female,15627840,Toscano,682,42,0,0.0,91981.85
483,2,1,0,Male,15578186,Pirozzi,486,37,9,115217.99,144995.33
2189,1,1,1,Male,15798310,Palerma,480,35,2,165692.91,197984.58
346,2,1,0,Female,15658935,Freeman,630,34,9,106937.05,138275.01
5481,1,0,1,Female,15606397,Cameron,577,44,1,152086.15,44719.5
8361,2,0,0,Female,15705676,Wardle,690,35,9,107944.33,48478.47
1472,1,1,1,Female,15729956,Akabueze,726,26,1,80780.16,19225.85
5100,2,1,0,Female,15582404,Miller,572,26,5,0.0,119381.41
6765,2,1,0,Female,15689955,Arcuri,461,40,7,0.0,176547.8
8706,1,0,0,Female,15717770,Marcelo,850,55,7,0.0,171762.87
4929,1,1,1,Male,15700601,Dynon,561,34,1,78829.53,12148.2
6329,1,1,1,Male,15661198,Howard,727,34,2,146407.11,72073.72
2609,1,1,1,Female,15755242,Rowe,682,46,2,0.0,114442.66
3,2,0,0,Female,15701354,Boni,699,39,1,0.0,93826.63
2213,2,1,1,Female,15803749,DeRose,498,41,4,87541.06,12577.21
4827,1,0,1,Male,15665053,Nixon,636,52,4,111284.53,32936.44
856,1,1,0,Female,15693864,Iheanacho,567,49,5,134956.02,93953.84
6977,1,1,0,Male,15711571,Y?,587,42,5,120233.83,194890.33
5885,2,1,1,Female,15723856,Gonzalez,602,29,3,88814.4,62487.97
624,1,0,1,Female,15745307,Ch'iu,477,48,2,129120.64,26475.79
290,1,0,1,Male,15652266,Chidiebele,703,42,9,63227.0,137316.32
2018,2,1,0,Male,15696703,Dean,691,27,3,160358.68,142367.72
668,1,1,1,Male,15640825,Loyau,695,46,3,122549.64,56297.85
8921,2,1,1,Female,15629519,Yen,472,37,1,0.0,48357.9
8264,2,0,0,Male,15710111,Clark,742,33,6,0.0,38550.4
9696,1,1,1,Male,15638788,Mack,550,32,8,97514.07,199138.84
1631,1,1,1,Male,15685372,Azubuike,350,54,1,152677.48,191973.49
5170,2,1,1,Female,15623695,McKinnon,814,31,4,0.0,142029.17
7205,2,1,1,Female,15592914,Fang,683,29,9,0.0,48849.89
2522,2,0,0,Male,15758056,Calabresi,558,35,1,0.0,111687.57
2215,2,1,1,Male,15770225,Padovesi,493,36,9,0.0,65816.53
6968,1,1,1,Female,15721793,Chiu,510,50,7,123936.54,23768.01
6496,2,1,0,Female,15789313,Ugorji,595,44,4,96553.52,143952.24
6213,2,1,1,Male,15697678,Maxwell,590,36,6,92340.69,174667.58
7032,1,0,1,Male,15583680,White,615,41,4,0.0,149278.96
7420,1,1,1,Female,15765487,Kuo,753,38,9,151766.71,180829.99
1107,1,0,0,Female,15660316,Stephenson,420,34,1,135549.9,149471.13
450,1,1,0,Female,15794396,Newbold,494,38,7,174937.64,40084.32
6289,1,1,0,Male,15773276,Townsend,633,63,4,114552.6,73856.28
9966,1,1,1,Male,15590213,Ch'en,479,35,4,125920.98,20393.44
135,2,1,1,Female,15584518,Arthur,589,50,5,144895.05,34941.23
1785,2,1,1,Male,15589380,Fraser,713,40,3,114446.84,87308.18
3404,1,1,0,Female,15576928,Walsh,573,23,2,0.0,122964.18
2906,2,1,0,Male,15600575,Padovano,802,41,6,0.0,47322.05
8304,2,1,0,Male,15792868,Mickey,675,69,1,0.0,157097.09
7492,1,0,1,Male,15776545,Napolitani,682,28,10,200724.96,82872.64
6100,2,1,0,Male,15720463,Ho,796,30,2,137262.71,62905.29
4504,1,1,0,Male,15788930,Silva,761,37,7,132730.17,199293.01
5053,1,0,0,Female,15674433,Allan,636,28,2,115265.14,191627.85
5205,1,1,0,Male,15735400,Kanayochukwu,756,28,8,179960.2,89938.08
4080,1,1,0,Female,15812262,Gaffney,808,37,2,100431.84,35140.49
6918,2,1,1,Male,15721116,Napolitano,597,24,0,108058.07,187826.11
6802,2,0,0,Male,15700656,Balashova,662,32,9,0.0,65089.38
5206,1,1,0,Male,15632826,Tardent,493,38,3,134006.77,89578.32
532,1,1,1,Male,15663478,Baldwin,729,32,6,93694.42,79919.13
4830,2,1,0,Male,15620758,Martel,660,30,4,0.0,129149.06
4038,1,1,0,Female,15684461,McKay,469,31,6,0.0,146213.75
4084,2,0,1,Female,15750458,Hawkins,693,39,4,0.0,142331.39
3204,3,0,1,Male,15603942,Hawthorn,547,50,3,81290.02,177747.03
7110,2,0,1,Female,15681509,McKay,679,28,9,0.0,61761.77
330,2,0,1,Male,15598493,Beach,656,50,7,0.0,72143.44
4957,1,1,0,Male,15600478,Watson,752,39,3,0.0,188187.05
3033,2,1,1,Female,15578006,Yao,787,85,10,0.0,116537.96
7684,1,1,1,Male,15808223,Lea,615,41,1,126773.43,55551.26
1597,1,1,1,Male,15656726,Ch'ien,771,32,5,62321.62,40920.59
9919,2,1,0,Male,15798084,Murray,688,26,0,0.0,105784.85
3597,1,1,0,Female,15671630,McMillan,796,40,1,99745.95,177524.19
9038,1,0,0,Female,15657349,Carter,803,50,8,98173.02,22457.25
8001,2,1,0,Male,15798053,Nnachetam,707,32,9,0.0,126475.79
590,1,1,1,Female,15788291,Okwuadigbo,713,38,7,144606.22,56594.36
647,1,1,0,Male,15805112,Pokrovsky,578,38,7,82259.29,8996.97
9102,1,0,1,Female,15810942,Chiemela,445,61,2,137655.31,29909.84
8015,2,1,1,Female,15778694,Sievier,638,26,1,105249.76,23491.09
3771,2,1,1,Male,15643361,Cullen,477,34,8,139959.55,189875.83
9039,2,1,1,Female,15777614,Webb,545,44,1,0.0,82614.89
5082,3,0,0,Female,15793307,Calabresi,724,41,4,142880.28,185541.2
7882,1,0,0,Female,15732061,Liu,850,45,1,121874.89,6865.41
9362,1,1,1,Male,15701972,Parsons,684,35,3,137179.39,37264.11
4210,1,1,0,Male,15731117,Kao,437,28,2,109161.25,152987.42
8834,1,1,0,Male,15794178,Walpole,657,34,3,107136.6,153895.46
8699,1,1,0,Male,15684469,Hsiung,841,32,2,117070.21,113482.2
1795,1,0,1,Female,15757648,Marshall,683,35,5,95698.79,182566.76
2586,1,1,1,Male,15573242,Greene,691,50,6,136953.47,2704.98
8355,1,1,1,Male,15695301,Matthews,504,44,4,113522.64,12405.2
2316,1,1,1,Female,15624388,Henderson,649,50,5,155393.32,87351.42
4185,2,1,0,Male,15642570,Scott,675,35,8,0.0,29062.25
8827,2,1,0,Male,15580149,Fowler,638,41,7,0.0,43889.41
7072,1,1,0,Male,15775750,Yao,686,37,9,134560.62,27596.39
5234,1,1,0,Female,15668323,Mbadiwe,678,41,1,143443.61,196622.28
8743,2,0,1,Male,15746035,Pagnotto,450,25,9,74237.2,195463.35
8670,2,1,1,Female,15758702,Watson,705,55,8,0.0,14392.68
4768,1,1,1,Female,15698528,Napolitani,599,31,3,0.0,130086.47
9972,1,1,0,Male,15747927,Ch'in,758,26,4,155739.76,171552.02
7144,1,0,1,Female,15577515,Sung,554,55,0,108477.27,140003.0
2913,2,1,1,Female,15697686,Stewart,787,40,6,0.0,84151.98
9871,2,1,1,Female,15736371,Kennedy,633,34,3,123034.43,38315.04
9893,1,1,0,Female,15598331,Morgan,764,40,9,100480.53,124095.69
2075,1,1,1,Male,15741385,Gallop,710,45,9,108231.37,188574.08
4302,1,0,0,Male,15791867,Hicks,544,44,2,108895.93,69228.2
5822,2,1,0,Male,15671351,Romani,624,35,2,0.0,87310.59
2149,1,1,0,Male,15648794,Giordano,836,57,4,101247.06,37141.62
144,1,1,0,Female,15612350,Taylor,691,31,5,40915.55,126213.84
4963,1,1,1,Male,15652084,Boni,515,40,0,109542.29,166370.81
8159,2,1,1,Female,15637427,Lu,461,25,6,0.0,15306.29
9030,1,0,0,Male,15799635,Arbour,577,51,2,108867.0,140800.66
4775,2,1,1,Male,15580068,Buccho,526,35,5,0.0,105618.14
8933,2,0,1,Male,15631162,Bergamaschi,631,32,10,0.0,196342.66
7749,1,1,0,Female,15781619,Stevenson,785,38,1,0.0,134964.85
9828,2,1,1,Male,15574523,Cheng,576,39,1,0.0,68814.23
9214,2,1,1,Female,15812893,Costa,629,39,10,0.0,43174.49
6060,2,1,0,Male,15669253,Gibson,754,39,7,157691.98,133600.89
9475,2,1,0,Male,15620988,Murray,616,46,2,0.0,137136.46
6409,2,1,1,Female,15690695,Flynn,683,33,9,0.0,38784.42
3317,2,1,1,Male,15575119,Hughes,779,71,3,0.0,146895.36
7464,1,1,0,Male,15569682,Leckie,768,37,9,108308.11,41788.25
3061,2,1,1,Male,15757837,Kao,584,33,3,88311.48,177651.38
1355,1,1,1,Male,15615029,Munro,734,39,6,0.0,95135.27
4514,2,1,0,Female,15658670,Chien,669,38,8,0.0,84049.16
5505,2,1,1,Female,15802466,Donaldson,534,53,7,0.0,80619.17
5250,2,0,1,Female,15720820,Sabbatini,462,24,9,69881.09,64421.02
4511,4,1,0,Female,15568006,Ukaegbunam,634,45,2,0.0,101039.53
1730,2,1,0,Male,15643438,P'eng,850,20,7,0.0,31288.77
1758,1,1,0,Female,15645544,Nekrasov,642,30,5,129753.69,582.53
6650,1,1,1,Male,15655252,Larionova,758,41,10,79857.64,78088.17
6646,2,0,0,Female,15662021,Lucciano,685,42,2,0.0,199992.48
9860,2,1,1,Female,15716431,Brookes,775,30,10,191091.74,96170.38
4139,1,1,1,Male,15599090,McKelvey,564,40,7,108407.34,83681.2
9393,1,1,0,Male,15686060,Chou,670,43,9,111677.88,178827.3
5123,1,0,1,Male,15744606,Davidson,832,29,8,93833.86,10417.87
0,1,1,1,Female,15634602,Hargrave,619,42,2,0.0,101348.88
1864,1,0,1,Male,15805312,Bellucci,607,45,7,123859.6,113051.57
543,1,1,0,Male,15705953,Kodilinyechukwu,721,51,0,169312.13,109078.35
349,2,1,1,Male,15576256,Yusupova,582,39,5,0.0,129892.93
6906,2,0,1,Female,15627514,Short,688,46,3,0.0,104902.68
9765,1,0,1,Male,15777067,Thomas,445,64,2,136770.67,43678.06
2523,2,1,0,Female,15742269,Milano,756,24,1,0.0,184182.25
3464,1,1,0,Female,15689031,Murphy,697,37,7,168066.87,35450.53
457,2,1,0,Male,15634632,Titus,711,38,3,0.0,68487.51
3023,1,1,0,Male,15697020,Hs?eh,618,39,2,91068.56,26578.69
7261,1,0,1,Female,15734578,Craig,726,53,1,113537.73,28367.21
9515,1,1,1,Male,15792922,Tu,639,38,9,130233.14,81861.1
7872,2,1,1,Female,15717736,Shen,639,46,10,110031.09,133995.59
6625,1,1,0,Female,15610912,Ferri,657,41,6,112119.48,17536.82
2534,1,1,0,Female,15803804,Walker,717,35,5,103214.71,172172.7
131,1,1,1,Female,15718369,Kaodilinakachukwu,795,33,9,130862.43,114935.21
3704,2,1,0,Female,15753213,Lees,604,34,7,0.0,193021.49
1372,2,0,1,Male,15723006,Gorbunova,489,38,8,0.0,196990.79
6200,1,0,0,Female,15569654,Munro,850,31,3,51293.47,35534.68
4856,1,1,1,Male,15721921,Woolnough,796,44,8,165326.2,57205.55
4712,1,1,0,Male,15618774,White,474,54,3,0.0,108409.17
5544,2,1,0,Male,15650864,Power,507,42,6,0.0,34777.23
1413,2,0,0,Male,15797733,Udobata,503,30,10,136622.55,47310.24
4113,2,1,1,Male,15667085,Meng,667,33,4,0.0,131834.75
655,1,1,1,Male,15692926,Toscani,498,25,8,121702.73,132210.49
8137,1,0,0,Male,15603096,Lori,410,33,6,125789.69,66333.56
4098,1,0,0,Male,15621267,Ejimofor,637,32,5,0.0,148769.08
592,1,1,1,Female,15679587,Chan,666,34,9,115897.12,25095.03
8708,2,1,0,Female,15776939,Zox,778,48,3,102290.56,182691.31
3123,2,1,0,Male,15622171,Nnamdi,642,30,8,80964.57,174738.2
3047,2,1,1,Male,15767871,H?,784,48,7,0.0,182609.97
3887,2,1,0,Female,15769110,Stehle,653,46,5,0.0,49707.85
5735,2,0,1,Female,15756070,Greenwood,585,44,4,0.0,101728.46
2184,2,1,0,Female,15689147,Ogochukwu,652,40,1,0.0,126554.96
2145,2,1,0,Male,15639322,Grave,633,33,4,137847.41,98349.13
7047,2,0,0,Female,15731586,Lai,785,31,2,121691.54,81778.72
3105,2,1,1,Female,15794566,Kirsova,678,28,4,0.0,144423.17
9233,1,0,0,Female,15722004,Hsiung,543,31,4,138317.94,61843.73
9096,1,1,0,Male,15762331,Moss,569,37,9,178755.84,199929.17
2769,1,1,0,Female,15730433,Nakayama,580,38,1,128218.47,125953.83
5221,2,1,0,Female,15654067,Koch,584,29,4,0.0,88866.92
5833,1,1,0,Female,15624519,Calabrese,656,49,9,97092.87,74771.22
1732,1,1,0,Male,15680727,Fang,735,49,5,121973.28,148804.36
265,1,1,0,Female,15813163,Ch'iu,531,36,9,99240.51,123137.01
5144,1,1,1,Female,15748069,Clunie,485,25,3,134467.26,113266.09
8267,2,1,0,Male,15798737,Chao,654,38,8,0.0,88659.44
3937,2,1,1,Female,15610165,Hsiung,761,26,1,0.0,199409.19
761,1,1,0,Female,15582741,Maclean,693,35,5,124151.09,88705.14
7220,2,0,0,Male,15706637,Chang,718,40,9,0.0,121537.91
8439,1,1,1,Male,15692931,Hsing,670,22,2,114991.45,37392.56
3257,1,1,1,Female,15709183,Davidson,707,58,3,102346.86,114672.64
4338,1,1,1,Male,15798439,Davidson,714,25,2,0.0,132979.43
4362,1,0,1,Female,15618695,Ts'ui,571,22,3,108117.1,53328.7
316,1,1,0,Male,15662736,Doyle,559,49,2,147069.78,120540.83
8069,2,1,0,Male,15700654,Liardet,617,44,9,49157.09,53294.17
1851,1,1,1,Female,15633640,Loewenthal,799,52,4,161209.66,89081.41
2484,1,1,1,Male,15587735,Chukwuebuka,850,39,6,96863.13,121681.19
9873,1,1,1,Female,15610454,Poole,724,33,9,119278.44,197148.24
9574,2,1,0,Male,15720123,Hudson,554,37,3,0.0,166177.3
1078,2,1,1,Female,15633650,Woods,677,41,8,146720.98,4195.84
8358,1,1,0,Female,15717286,Sal,675,40,8,79035.95,142783.98
7333,2,1,0,Male,15795527,Zetticci,699,43,2,136487.86,82815.93
1071,1,1,1,Male,15586970,Pinto,695,52,8,103023.26,22485.64
103,2,1,0,Male,15776605,Bradley,528,36,7,0.0,60536.56
5748,1,0,0,Female,15678412,Nwankwo,645,45,8,85325.93,22558.74
1418,1,1,0,Female,15649280,Lucchese,521,40,9,134504.78,18082.06
1658,1,0,1,Male,15654851,Obialo,748,44,2,92911.52,85495.24
5284,1,1,1,Male,15759250,Barnett,745,51,3,99183.9,28922.25
1149,2,0,0,Male,15773906,Doherty,655,38,4,0.0,110527.71
7150,1,1,1,Female,15691150,Ku,699,32,4,110559.46,127429.56
1568,1,1,1,Male,15618314,Chu,676,40,8,114005.78,67998.45
1087,2,1,0,Female,15696098,Palermo,498,31,10,0.0,13892.57
6085,1,1,0,Male,15596992,Norris,482,45,7,156353.46,72643.95
8674,2,1,1,Male,15719426,Cole,529,67,8,103101.56,154002.02
8341,2,1,0,Female,15749807,Graham,516,31,3,0.0,124202.26
7811,1,0,0,Male,15687852,Vinogradoff,611,30,2,104145.65,159629.64
6084,1,1,1,Female,15619494,Abdulov,562,31,9,117153.0,108675.01
8773,2,1,0,Male,15589200,Madukaife,617,34,9,0.0,118749.58
8757,2,0,1,Female,15567383,Slone,678,44,2,98009.13,31384.86
1692,2,0,0,Male,15809006,Walker,602,23,7,113758.48,84077.6
4734,2,1,1,Female,15591740,Fletcher,590,54,4,0.0,93820.49
3387,1,1,1,Male,15798024,Lori,537,84,8,92242.34,186235.98
3646,1,1,0,Female,15610900,Thompson,770,70,9,110738.89,22666.77
1683,1,1,1,Male,15709387,Obiajulu,711,52,5,0.0,159808.95
8,2,0,1,Male,15792365,He,501,44,4,142051.07,74940.5
6062,2,1,1,Male,15574558,Gunter,718,32,8,0.0,41399.33
6516,3,0,1,Female,15775797,Esposito,607,32,7,0.0,10674.62
4123,1,0,1,Female,15648225,Shephard,652,38,1,103895.31,159649.44
8729,2,1,1,Male,15656592,Toscano,646,48,8,169023.33,175657.55
6045,2,1,1,Female,15784594,Mazzi,549,37,1,130622.34,128499.94
567,1,1,1,Female,15689614,Teng,687,63,1,137715.66,37938.74
9161,1,0,0,Male,15750049,Steele,621,40,10,163823.37,89519.47
1803,1,0,0,Female,15707078,Kruglov,577,26,1,180530.51,123454.62
8501,2,1,0,Male,15797197,Macleod,678,29,6,0.0,64443.75
4900,1,1,1,Male,15634936,Chukwukadibia,735,41,7,179904.0,137180.95
1599,2,0,1,Female,15719309,Stephens,670,42,1,115961.58,29483.87
7931,1,0,0,Male,15751227,Ebelegbulam,807,47,1,95120.59,127875.1
9547,2,1,1,Female,15682454,McFarland,626,34,3,0.0,37870.29
2823,1,0,1,Female,15764351,Yuryeva,668,59,5,120170.07,50454.8
5467,1,1,1,Male,15581237,Biryukova,573,33,1,160777.9,149536.15
3529,2,1,0,Female,15710853,Ts'ui,623,24,5,0.0,116160.04
8683,4,0,1,Female,15599329,Christopher,697,49,7,195238.29,131083.56
1155,1,1,0,Male,15768006,Wu,729,34,3,152303.8,12128.69
6547,1,1,1,Female,15608760,Cox,656,30,4,74323.2,22929.08
9088,1,1,1,Female,15608246,Wentcher,736,36,8,103914.17,110035.88
7620,2,1,0,Female,15629133,Black,579,27,9,0.0,126838.7
8296,2,1,0,Female,15704466,Udokamma,692,34,7,0.0,195074.62
4540,1,1,0,Male,15613017,McMillan,586,32,1,149814.54,31830.06
9134,1,1,1,Male,15804357,Loggia,481,40,3,0.0,32319.93
6482,2,1,1,Male,15628292,Lucchesi,850,32,4,156001.68,151677.31
5826,2,1,1,Female,15737961,Miller,509,29,0,107712.57,92898.17
1190,2,1,1,Female,15636935,Rischbieth,797,29,1,0.0,132975.39
7444,2,1,1,Female,15605276,Brothers,742,29,4,0.0,180066.59
8520,2,1,1,Male,15634606,Chinonyelum,634,52,1,0.0,176913.42
960,1,1,1,Female,15686164,Maclean,850,31,1,108822.4,132173.31
7454,2,1,1,Male,15627365,Calabresi,732,46,0,0.0,184350.78
36,1,0,1,Male,15788448,Watson,490,31,3,145260.23,114066.77
7516,1,1,0,Male,15748649,Shen,644,40,8,93183.19,73882.49
7644,1,1,0,Male,15613673,Lung,675,28,9,0.0,134110.93
4438,2,1,1,Male,15583850,Davidson,672,68,0,126061.51,184936.77
6161,2,0,0,Male,15666430,Peck,579,38,8,0.0,91763.67
7744,2,0,0,Female,15806822,Myers,739,36,0,0.0,133465.57
9587,1,1,0,Female,15653050,Norriss,719,76,10,95052.29,176244.87
8119,3,1,1,Male,15586236,Banks,704,31,5,132084.66,54474.48
6967,1,1,0,Male,15644934,Gentry,466,26,9,105522.06,10842.46
5718,2,1,0,Female,15814519,Kamdibe,648,37,7,0.0,194238.92
577,2,0,1,Male,15633922,Gray,755,30,4,123217.66,144183.1
9833,2,1,0,Female,15807245,McKay,699,41,1,200117.76,94142.35
4102,2,0,1,Male,15772030,Coupp,662,33,3,0.0,68064.83
7646,1,1,1,Male,15741633,Fuller,566,32,10,147511.26,159891.03
4151,1,0,0,Male,15569098,Winifred,627,44,6,153548.12,35300.08
3130,1,1,0,Female,15813113,Chang,795,56,5,0.0,35418.69
4890,2,1,0,Female,15797113,Bevan,552,34,4,0.0,140286.69
9975,2,1,0,Male,15666295,Smith,610,50,1,113957.01,196526.55
7471,1,0,1,Female,15721569,Chialuka,658,55,8,119327.93,119439.66
1833,1,1,0,Male,15804394,Brenan,663,32,8,130627.66,47161.25
9148,2,0,0,Male,15595640,Rizzo,698,37,8,0.0,145004.39
4891,2,1,1,Male,15676958,Zito,765,34,5,86055.17,104220.5
2287,1,1,0,Male,15619889,Vasin,556,26,4,0.0,195167.38
1330,2,1,0,Female,15742854,Lettiere,640,46,8,0.0,89043.19
2771,1,1,0,Male,15715465,Aksenova,714,28,7,77776.39,177737.07
3686,2,1,0,Male,15665327,Cattaneo,706,18,2,176139.5,129654.22
8283,2,1,1,Male,15754569,Pagnotto,664,57,1,0.0,56562.57
5928,1,1,1,Female,15761241,Hsieh,578,36,8,129745.1,143683.75
637,1,0,1,Male,15583725,Mairinger,682,48,1,138778.15,168840.23
47,1,1,1,Female,15771573,Okagbue,637,39,9,137843.8,117622.8
2602,2,1,0,Male,15683521,Godfrey,594,28,0,142574.71,129084.82
1965,1,0,0,Female,15772243,MacDonald,612,33,9,0.0,142797.5
2168,1,1,0,Female,15805260,Wood,705,56,2,143249.67,88428.41
5049,1,0,0,Male,15598894,Holt,784,38,10,122267.85,145759.93
3334,2,0,0,Male,15702300,Walker,671,27,5,0.0,120893.07
3019,2,1,1,Male,15741049,Colebatch,577,29,7,0.0,55473.15
8764,2,1,1,Male,15618203,Tien,773,51,8,116197.65,86701.4
9176,2,1,0,Male,15610433,Kwemto,573,35,9,0.0,11743.89
1360,2,0,1,Female,15694409,Tsao,647,22,3,97975.82,62083.0
5798,1,0,1,Male,15797627,Niehaus,732,54,0,134249.7,13404.4
9400,1,0,0,Female,15584897,Kuo,639,31,3,98360.03,20973.8
3251,3,1,0,Male,15750335,Paterson,850,43,0,108508.82,184044.8
6300,1,1,1,Female,15668235,Cooke,614,41,3,123475.04,179227.52
